#C=8795,gamma=0.029,epsilon=819,train_percent=0.75
DATA,TARGET,T-12,T0-1,T m norm,P1,P2,P7,P8,P9,P10,P11,P14,P17,T1,T2,T7,T8,T9,T10,T11,T14,T17,E1
10/1/2000,4749.581,5330.880,1049.760,5297.318,1765.294,1434.966,1268.796,1117.084,2882.715,2238.896,2051.082,1415.359,4061.674,292.899,294.383,294.317,295.909,293.854,293.116,292.581,292.958,295.947,5903.908
11/1/2000,4616.698,5786.208,985.651,5598.278,1662.445,1426.573,1258.946,1148.434,2514.704,2059.949,1741.536,1272.504,3480.792,292.899,294.379,294.306,295.893,293.924,293.140,292.630,292.959,296.124,6277.022
12/1/2000,4776.192,5908.032,927.936,5955.955,1774.653,1578.607,1427.009,1295.635,2338.809,1961.306,1636.228,1327.976,3313.198,292.809,294.222,294.203,295.741,294.098,293.189,292.679,292.954,296.351,6542.787
1/1/2001,5446.397,6395.501,838.339,6493.589,1901.448,1695.075,1644.883,1438.295,2250.668,1899.773,1678.993,1576.584,3321.955,292.782,294.165,294.147,295.681,294.308,293.280,292.754,292.929,296.602,6862.412
2/1/2001,6129.389,6814.454,650.851,7226.131,1925.242,1688.742,1757.814,1487.931,2058.400,1713.733,1704.507,1744.857,3248.997,292.631,293.980,293.995,295.525,294.361,293.221,292.686,292.805,296.668,7659.267
3/1/2001,7051.190,6821.021,479.002,7677.758,2034.374,1713.288,1849.744,1513.777,2118.544,1698.902,1911.081,1914.239,3357.902,292.704,294.045,294.116,295.650,294.429,293.316,292.799,292.933,296.556,7884.799
4/1/2001,7059.485,6845.126,867.802,7502.885,1893.229,1550.528,1745.927,1394.286,2108.678,1591.016,1922.025,1931.601,3467.954,292.765,294.133,294.179,295.741,294.272,293.301,292.761,292.982,296.246,7683.499
5/1/2001,6825.427,6790.694,852.768,7224.965,1790.359,1406.012,1589.574,1237.638,2165.341,1589.024,2011.892,1920.295,3452.860,292.857,294.265,294.292,295.877,294.383,293.259,292.753,292.888,296.585,7169.559
6/1/2001,6484.493,5906.822,1087.430,6893.030,1641.550,1271.109,1376.858,1087.761,2178.288,1587.282,1989.104,1713.464,3481.012,292.751,294.219,294.253,295.873,294.007,293.085,292.589,292.904,296.042,6983.609
7/1/2001,5921.424,5502.470,1508.544,6313.142,1631.018,1264.131,1261.181,1025.330,2491.306,1841.452,1972.434,1543.025,3828.948,293.044,294.499,294.510,296.114,294.133,293.284,292.807,293.150,296.084,6156.157
8/1/2001,5208.970,5229.274,1333.843,5581.344,1534.772,1203.588,1130.706,954.748,2612.267,1942.002,1860.565,1355.358,3821.126,293.089,294.557,294.515,296.129,294.066,293.299,292.800,293.142,296.003,5496.504
9/1/2001,4192.819,4452.538,1400.803,5130.926,1728.853,1355.186,1236.627,1049.366,2851.130,2191.347,2060.046,1458.821,3968.397,293.095,294.592,294.529,296.138,293.978,293.287,292.738,293.152,295.947,5355.109
